Date,Condition,Avg Temp (°C),Max Temp (°C),Min Temp (°C),Humidity (%),Wind Speed (km/h),Pressure (hPa),Precipitation (mm),UV Index,Visibility (km),Sunrise,Sunset,Dew Point (°C),City
2025-03-31,Sunny,28.3,34.5,22.2,26,26.3,1011.0,0.0,2.6,10.0,06:16 AM,06:31 PM,4.1,Bangalore
2025-04-01,Sunny,27.4,34.2,21.2,38,25.2,1010.0,0.0,2.8,10.0,06:16 AM,06:31 PM,13.7,Bangalore
2025-04-02,Sunny,26.8,33.2,19.9,46,20.9,1010.0,0.04,2.9,10.0,06:15 AM,06:31 PM,15.0,Bangalore
2025-04-03,Patchy rain nearby,27.5,32.8,22.3,50,19.4,1011.0,1.68,2.9,9.9,06:14 AM,06:31 PM,17.4,Bangalore
2025-04-04,Patchy rain nearby,27.6,33.4,23.3,52,14.8,1011.0,1.3,3.6,10.0,06:14 AM,06:31 PM,17.3,Bangalore
2025-04-05,Patchy rain nearby,26.4,31.1,23.7,59,13.7,1012.0,2.47,6.0,9.8,06:13 AM,06:31 PM,18.2,Bangalore
2025-04-06,Patchy rain nearby,26.6,33.3,21.9,58,18.7,1012.0,1.99,6.0,9.3,06:13 AM,06:31 PM,17.8,Bangalore
2025-03-31,Patchy rain nearby,7.2,8.4,6.0,60,18.7,1023.0,2.35,1.0,8.9,05:30 AM,06:02 PM,1.7,Tokyo
2025-04-01,Moderate rain,5.7,6.6,4.5,86,39.2,1029.0,19.0,0.1,7.8,05:28 AM,06:03 PM,3.8,Tokyo
2025-04-02,Moderate rain,8.2,9.2,6.8,85,37.4,1026.0,16.56,0.1,5.6,05:27 AM,06:04 PM,3.5,Tokyo
2025-04-03,Patchy rain nearby,11.9,15.2,9.7,76,31.7,1015.0,2.44,1.1,9.0,05:26 AM,06:04 PM,7.6,Tokyo
2025-04-04,Patchy rain nearby,12.5,16.1,8.7,52,28.4,1014.0,2.92,1.6,9.4,05:24 AM,06:05 PM,4.7,Tokyo
2025-04-05,Patchy rain nearby,12.6,16.4,10.3,61,29.9,1018.0,1.08,3.0,9.9,05:23 AM,06:06 PM,5.7,Tokyo
2025-04-06,Patchy rain nearby,16.0,19.1,13.0,55,23.0,1015.0,0.3,4.0,9.0,05:21 AM,06:07 PM,7.4,Tokyo
2025-03-31,Sunny,22.8,29.8,17.1,41,10.1,1014.0,0.03,2.8,10.0,06:20 AM,06:34 PM,6.9,Ooty
2025-04-01,Patchy rain nearby,22.2,29.9,17.1,56,7.9,1013.0,0.62,2.7,10.0,06:20 AM,06:34 PM,11.2,Ooty
2025-04-02,Moderate rain,20.8,28.1,16.5,72,6.5,1012.0,6.78,2.4,9.7,06:19 AM,06:34 PM,13.9,Ooty
2025-04-03,Moderate rain,21.0,26.0,17.4,76,5.0,1014.0,11.52,2.8,9.3,06:19 AM,06:34 PM,16.1,Ooty
2025-04-04,Moderate rain,21.2,26.3,17.3,78,4.0,1014.0,12.38,3.6,9.5,06:18 AM,06:34 PM,16.3,Ooty
2025-04-05,Moderate rain,19.9,24.6,17.7,85,5.4,1014.0,19.22,4.0,9.1,06:17 AM,06:34 PM,16.4,Ooty
2025-04-06,Moderate rain,21.3,26.7,18.0,77,6.5,1015.0,9.73,5.0,9.5,06:17 AM,06:34 PM,16.0,Ooty
